latitude,longitude,bezeichnung,art,kuenstler,entstehung,foto_wikipedia
54.176284002742065,12.088511012108436,MÃ¶wen,Bronzeplastik,Regina Lange,1999,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Moewen_Regina_Lange.jpg
54.090107002750258,12.132615012088294,MÃ¶wenflug,Klinkerbild,Reinhard Dietrich,1966,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Moewen.jpg
54.179042002742555,12.076616012113428,MÃ¶wenflug,Bronzeplastik,Reinhard Dietrich,1971,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Moewen.jpg
54.093616002752832,12.093936012104322,Mozart,Relief,Paul Wallat,1930er Jahre,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Mozart.jpg
54.07878200275141,12.137237012086134,Mutter und Kind,Sandsteinplastik,Detlef Herrmann,,http://de.wikipedia.org/w/index.php?title=Datei:Mutter_und_Kind.jpg
54.087485002750562,12.133056012088044,Nonnen,Terrakottakubus,Walter Howard,1980,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Kloster.jpg
54.078284002752405,12.12570501209087,Ohne Titel,Sandsteinplastik,Hans-Joachim MÃ¼ller,1989,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Sandsteinskulptur9.jpg
54.077514002752352,12.127532012090105,Ohne Titel,Sandsteinplastik,Olaf Leon Roald,1989,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Sandsteinskulptur5.jpg
54.17853400274241,12.079733012112124,Orpheus,Bronzeplastik,Thomas Jastram,2001,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Junge_Kurhaus.jpg
54.090174002749769,12.138035012086052,Paar,Sandsteinplastik,Anne Sewcz,1991,http://de.wikipedia.org/w/index.php?title=Datei:Burgwall_Paar.jpg
54.077098002752379,12.128017012089902,Partnerschaft,Sandsteinplastik,Reinhard Dietrich,1989,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Sandsteinskulptur1.jpg
54.078943002755075,12.090788012105293,Pinguine,Bronzeplastik,Hans Matthies,1967,http://de.wikipedia.org/w/index.php?title=Datei:Pinguine.jpg
54.177942002742718,12.076526012113435,Pony,Bronzeplastik,Heinrich Drake,1961,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Pony.jpg
54.08762300274968,12.143338012083818,Portal,Portalschmuck mit Terrakottawappenrelief,Margarete Scheel,1938,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Kranstoeverhaus_Scheel.jpg
54.087033002750751,12.131902012088513,Reife,Bronzeplastik,Reinhard Buch,1993,http://de.wikipedia.org/w/index.php?title=Datei:Oberwall_Reife.jpg
54.093571002748774,12.144762012083367,Reisende,Bronzeplastik,Jo Jastram,2005,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Reisende.jpg
54.077591002752477,12.126337012090596,Ringer,Bronzeplastik,Jo Jastram,1980,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Ringer.jpg
54.088571002750285,12.134605012087441,Rostocker Stundenuhr,Kupferrelief (teilweise vergoldet) mit Bronzeanschlagplastik,Lutz Holland,1986,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Fuenfgiebelhaus_Uhr.jpg
54.093662002751294,12.113937012096066,Roter Mann auf dem Dach,Metallplastik,Reinhard Buch,2002,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Roter_Mann_auf_dem_Dach.jpg
54.092130002749762,12.135370012087199,Schiffer-Haus,Steinrelief,,Anfang des 20. Jahrhunderts,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Wokrenterstrasse_Kogge_Relief.jpg
54.079410002755033,12.090438012105457,Schimpansen,Kunststeinplastik,Klaus Tilke,,http://de.wikipedia.org/w/index.php?title=Datei:Schimpansen_Klaus_Tilke.jpg
54.088706002749781,12.140681012084944,Schlange,Bronzeplastik,Erhard John,1998,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Rathausschlange.jpg
54.078777002755245,12.088704012106145,Schreitende,Bronzeplastik,Heinrich Drake,1975,http://de.wikipedia.org/w/index.php?title=Datei:Schreitende_Heinrich_Drake.JPG
54.141116002747012,12.086055012108645,SchweiÃŸer,Bronzeplastik,Jo Jastram,1961/62,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Schmarl_Schweisser.jpg
54.078821002755163,12.089690012105741,Schwimmerin,Bronzeplastik,Fritz Cremer,1959/60,http://de.wikipedia.org/w/index.php?title=Datei:Schwimmerin_Fritz_Cremer.jpg
54.133166002749178,12.070859012114743,Seemanns Landgang,Terrakottaplastiken,Reinhard Dietrich,1986,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Schmarl_Heimkehr2.jpg
54.133166002749178,12.070859012114743,Seemanns Landgang,Terrakottaplastik,Reinhard Dietrich,1986,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Schmarl_Heimkehr1.jpg
54.09182400274991,12.133920012087787,Segel im Wind,Metallplastik,Achim KÃ¼hn,1988,http://de.wikipedia.org/w/index.php?title=Datei:Am_Strande_Windspiel.jpg
54.096121002753193,12.084649012108217,Sinnende,Bronzeplastik,Sabina Grzimek,1973/75,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Schwanenteich5.jpg
54.089899002751352,12.119395012093735,Sitzende,Bronzeplastik,Willi Hennig-Hennings,1936,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Sitzende_Doberanerstr.jpg
54.086415002750748,12.132853012088111,Sitzende Frau,Sandsteinplastik,Peter Michael,1981,http://de.wikipedia.org/w/index.php?title=Datei:Oberwall_Frau.jpg
54.152922002746713,12.067809012116461,Sonnenblumen,Hausgiebelgestaltung,Reinhard Dietrich,1979,http://de.wikipedia.org/w/index.php?title=Datei:Rostock-Lichtenhagen_Sonnenblumenhaus.jpg
54.077367002752503,12.126330012090605,SonnenmÃ¤dchen,Sandsteinplastik,Jakub Lewinski,1989,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Sandsteinskulptur4.jpg
54.082920002750527,12.140872012084733,Sonnenuhr,Edelstahlplastik,Wilfried Heider,1977,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Sonnenuhr_Reiferbahn.jpg
54.089210002749837,12.138898012085686,Sonnenuhr,Kupferrelief,Wolfgang Friedrich,2006,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Marienkirche_Sonnenuhr.jpg
54.100075002753591,12.071629012113689,Sonnenuhr mit Taube,Fliesenmosaik,,1960er Jahre,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Reutershagen_Sonnenuhr.jpg
54.086610002750469,12.135674012086948,Sparsamkeit,Scraffito,,19. Jahrhundert,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Scrafitto_Sparsamkeit.jpg
54.089474002749888,12.13788101208611,Spielende Kinder,Bronzeplastik auf Steinsockel,Lore Plietzsch,1979,http://de.wikipedia.org/w/index.php?title=Datei:Bei_der_Marienkirche_Kinder.jpg
54.088479002750269,12.135074012087239,Stadtgeschichtliche Motive,Keramikreliefs,Reinhard Dietrich,1980,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Universitaetsplatz_Relief1.jpg
54.09116300275091,12.122826012092352,Stehende,Betonplastik,Erika Wolf,1975,http://de.wikipedia.org/w/index.php?title=Datei:Skulptur_Rostock_Frieda23.jpg
54.078474002755208,12.089881012105653,Stehende mit Tuch,Bronzeplastik,Waldemar Grzimek,1958,http://de.wikipedia.org/w/index.php?title=Datei:Stehende_mit_Tuch_von_Waldemar_Grzimek.jpg
54.07843000275524,12.08937301210586,Stehender MÃ¤dchenakt,Bronzeplastik,Fritz Cremer,1967,http://de.wikipedia.org/w/index.php?title=Datei:Stehender_M%C3%A4dchenakt_Fritz_Cremer.jpg
54.091804002749655,12.13712901208646,"St. Georg, der DrachentÃ¶ter",Tympanonbemalung,Lothar Mannewitz,1990,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Lagerstrasse_Georg.jpg
54.08746900275117,12.125590012091127,St. Jakobi,Wandbild,Ina Wilken,2008,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Wandbild_Jakobi.jpg
54.096900002751468,12.106000012099408,StrÃ¶mungen,Metallplastik,Hans-Dieter Schrader,2003,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Neptunalle5.jpg
54.101350002748767,12.132012012088779,Synapsen,,Reinhard Buch,2004,
54.090637002749382,12.142259012084331,Szenen aus dem Arbeitsleben â€“ Aufbau und Handwerk,Scraffito,Heinz Becker,1953,http://de.wikipedia.org/w/index.php?title=Datei:Kraemerstrasse9.jpg
54.090448002749433,12.141760012084536,Szenen aus dem Arbeitsleben â€“ Fischer,Scraffito,Heinz Becker,1953,http://de.wikipedia.org/w/index.php?title=Datei:Kraemerstrasse7.jpg
